ID	Old_Name	Old_Family	Annotation
PF3D7_0732300	['2654945', 'MAL7P1.184', 'PF07_0133']	rifA	rifin
PF3D7_0732400	['1791.m00047', '4794189', 'PF07_0134']	rifA	rifin
PF3D7_0732500	['4794190', 'MAL7P1.185', 'PF07_0135']	rifA	rifin
PF3D7_0732700	['4794191', 'MAL7P1.210', 'PF07_0136']	rifB	rifin
PF3D7_0732800	['2654943', 'MAL7P1.186', 'MAL7P1.211', 'PF07_0137']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2
PF3D7_0732900	['1842.m00016', '4794192', 'PF07_0138']	rifA	rifin
PF3D7_0733000	['2654949', 'MAL7P1.187', 'PF07_0139']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0800100	['4794199', 'MAL8P1.168', 'PF08_0142']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0800200	['2655302', 'MAL8P1.167', 'PF08_0141']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0800300	['2655305', 'MAL8P1.166', 'PF08_0140']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0800500	['2655306', 'PF08_0138']	rifA	rifin
PF3D7_0800600	['2655361', 'MAL8P1.163']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_0800800	['2655359', 'MAL8P1.161']	hyp7	Plasmodium exported protein (hyp7)%2C unknown function
PF3D7_0800900	['2655358', 'MAL8P1.160']	hyp7	Plasmodium exported protein (hyp7)%2C unknown function%2C pseudogene
PF3D7_0801000	['2655336', 'PF08_0137']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_0805700	['9221936', 'MAL8P1.203']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0808600	['4794195', 'MAL8P1.119', 'PF08_0107']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0808700	['2655304', 'MAL8P1.118', 'PF08_0106']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0808800	['4794194', 'PF08_0105']	rifA	rifin
PF3D7_0808900	['2655307', 'MAL8P1.117', 'PF08_0104']	rifA	rifin
PF3D7_0809100	['2655303', 'PF08_0103']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0810000	['2655298', 'PF08_0099']	acbp	acyl-CoA binding protein%2C putative
PF3D7_0830600	['2655380', 'MAL8P1.4']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_0831000	['2655365', 'MAL8P1.2']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0831800	['9221889', 'MAL7P1.231']	hrp	histidine-rich protein II
PF3D7_0832000	['9221927', 'MAL7P1.227']	stevor	stevor
PF3D7_0832100	['9221890', 'MAL7P1.226']	rif pseudogen.	rifin%2C pseudogene
PF3D7_0832300	['9221887', 'MAL7P1.224']	PHISTa-like	Plasmodium exported protein (PHISTa-like)%2C unknown function
PF3D7_0832400	['9221926', 'MAL7P1.223']	stevor	stevor
PF3D7_0832500	['9221893', 'MAL7P1.222']	rifA	rifin
PF3D7_0832600	['9221886', 'MAL7P1.310']	stevor pseudogene	stevor
PF3D7_0832700	['9221925', 'MAL7P1.220']	PHISTa-like	Plasmodium exported protein (PHISTa-like)%2C unknown function%2C pseudogene
PF3D7_0832800	['9221928', 'MAL7P1.219']	rifB	rifin
PF3D7_0832900	['9221924', 'MAL7P1.218']	stevor	stevor
PF3D7_0833000	['9221923', 'MAL7P1.217']	rifA	rifin
PF3D7_0833100	['9221922', 'MAL7P1.216']	rifA	rifin
PF3D7_0833200	['9221931', 'MAL7P1.215']	rifB	rifin
PF3D7_0833300	['9221921', 'MAL7P1.214']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0833400	['9221930', 'MAL7P1.213']	rifA	rifin
PF3D7_0833500	['9221932', 'MAL7P1.212']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0900100	['813289', 'PFI0005w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0900200	['813290', 'PFI0010c']	rifA	rifin
PF3D7_0900300	['4794200', 'PFI0015c']	rifB	rifin
PF3D7_0900400	['813291', 'PFI0020w']	rifA	rifin
PF3D7_0900500	['4794201', 'PFI0025c']	rifB	rifin
PF3D7_0900600	['4794202', 'PFI0030c']	rifA	rifin
PF3D7_0900700	['4794203', 'PFI0035c']	rifA	rifin
PF3D7_0900800	['813292', 'PFI0040c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_0900900	['813293', 'PFI0045c']	stevor	stevor
PF3D7_0901000	['813294', 'PFI0050c']	rifB	rifin
PF3D7_0901100	['4794204', 'PFI0055c']	rifA	rifin
PF3D7_0901300	['4794205', 'PFI0065w']	rifA	rifin
PF3D7_0901400	['4794206', 'PFI0070w']	rifA	rifin
PF3D7_0901500	['4794207', 'PFI0075w']	rifA	rifin
PF3D7_0901600	['813296', 'PFI0080w']	stevor	stevor
PF3D7_0902000	['813299', 'PFI0095c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0902100	['813300', 'PFI0100c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0902200	['813301', 'PFI0105c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0902300	['813302', 'PFI0110c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0902400	['813303', 'PFI0115c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0902500	['813304', 'PFI0120c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0902600	['813305', 'PFI0125c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_0902700	['813306', 'PFI0130c']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function%2C pseudogene
PF3D7_0924000	['813516', 'PFI1180w']	Lysophospholipase	patatin-like phospholipase%2C putative
PF3D7_0936600	['813634', 'PFI1770w']	PHISTb	gametocyte exported protein 5
PF3D7_0936700	['813635', 'PFI1775w']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_0936800	['813636', 'PFI1780w']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_0936900	['813637', 'PFI1785w']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function%2C pseudogene
PF3D7_0937000	['813638', 'PFI1790w']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_0937200	['813640', 'PFI1800w']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_0937300	['813641', 'PFI1805w']	rifA	rifin
PF3D7_0937400	['4794209', 'PFI1810w']	rifB	rifin
PF3D7_0937500	['813642', 'PFI1815c']	rifA	rifin
PF3D7_0937600	['813643', 'PFI1820w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_0937700	['813644', 'PFI1825w']	rifA	rifin
PF3D7_0937800	['813645', 'PFI1830c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1000100	['810160', 'PF10_0001']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1000200	['810161', 'PF10_0002']	rifA	rifin
PF3D7_1000300	['810162', 'PF10_0003']	rifB	rifin
PF3D7_1000400	['810163', 'PF10_0004']	rifA	rifin
PF3D7_1000500	['810164', 'PF10_0005']	rifA	rifin
PF3D7_1000600	['810165', 'PF10_0006']	rifB	rifin
PF3D7_1000800	['810168', 'PF10_0009']	stevor pseudogene	stevor%2C pseudogene
PF3D7_1000900	['810170', 'PF10_0011', 'PF10_0012']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_1001100	['810173', 'PF10_0014', 'PF10_0015']	acbp	acyl-CoA binding protein%2C isoform 1%2C ACBP1
PF3D7_1001200	['810174', 'PF10_0016']	acbp	acyl-CoA binding protein%2C isoform 2%2C ACBP2
PF3D7_1001300	['810175', 'PF10_0017']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1001700	['810179', 'PF10_0021']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_1001800	['810180', 'PF10_0022']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_1016300	['810317', 'PF10_0159']	gbp	glycophorin binding protein
PF3D7_1016400	['810318', 'PF10_0160']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_1016500	['810319', 'PF10_0161']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_1016600	['8444980', 'PF10_0161', 'PF10_0161a']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_1016700	['810320', 'PF10_0162']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_1016800	['810321', 'PF10_0163']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_1038800	['810535', 'PF10_0378']	PHISTb_dnaj	RESA-like protein with PHIST and DnaJ domains
PF3D7_1038900	['810536', 'PF10_0379']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_1039000	['810537', 'PF10_0380']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_1039100	['810538', '810539', 'PF10_0381', 'PF10_0382']	dnaj_III	DnaJ protein%2C putative%2C pseudogene
PF3D7_1039700	['810547', 'PF10_0390']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1039800	['810548', 'PF10_0391']	hyp4	exported protein family 3
PF3D7_1040000	['810550', 'PF10_0393']	rifA	rifin
PF3D7_1040100	['810551', 'PF10_0394']	rifB	rifin
PF3D7_1040200	['810552', 'PF10_0395']	stevor	stevor
PF3D7_1040300	['810553', 'PF10_0396']	rifA	rifin
PF3D7_1040400	['810554', 'PF10_0397']	rifB	rifin
PF3D7_1040500	['810555', 'PF10_0398']	rifA	rifin
PF3D7_1040600	['810556', 'PF10_0399']	rifB	rifin
PF3D7_1040700	['810557', 'PF10_0400']	rifA	rifin
PF3D7_1040800	['810558', 'PF10_0401']	rifB	rifin
PF3D7_1040900	['810559', 'PF10_0402']	rifB	rifin
PF3D7_1041000	['810560', 'PF10_0403']	rifA	rifin
PF3D7_1041100	['810561', 'PF10_0404']	rifB	rifin
PF3D7_1041200	['810562', 'PF10_0405']	rifA	rifin
PF3D7_1041300	['1398.t00021', '810563', 'PF10_0406']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1100100	['810585', 'PF11_0007']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1100200	['810584', 'PF11_0008']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1100300	['810583', 'PF11_0009']	rifA	rifin
PF3D7_1100400	['810582', 'PF11_0010']	rifA	rifin
PF3D7_1100500	['810581', 'PF11_0011']	rifA	rifin
PF3D7_1100600	['810580', 'PF11_0012']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_1100700	['810579', 'PF11_0013']	stevor pseudogene	stevor%2C pseudogene
PF3D7_1100800	['810578', 'PF11_0014']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1101000	['810575', 'PF11_0522']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_1101100	['810574', 'PF11_0529']	rifA	rifin
PF3D7_1101200	['810573', 'PF11_0020']	rifB	rifin
PF3D7_1101300	['810599', 'PF11_0021']	rifA	rifin
PF3D7_1101400	['810571', 'PF11_0022']	rif pseudogen.	rifin%2C pseudogene
PF3D7_1101600	['2297.t00488', '810570', 'PF11_0024']	hyp4	exported protein family 3
PF3D7_1101700	['810569', 'PF11_0025']	pfmc-2tm	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_1101900	['810567', 'PF11_0523']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_1102200	['810586', 'PF11_0034']	dnaj_III	DnaJ protein%2C putative
PF3D7_1102500	['810590', 'PF11_0037']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1148700	['811035', 'PF11_0503']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_1149200	['811041', 'PF11_0509']	PHISTb_dnaj	ring-infected erythrocyte surface antigen
PF3D7_1149300	['811042', 'PF11_0510']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_1149500	['811044', 'PF11_0512']	PHISTb_dnaj	ring-infected erythrocyte surface antigen 2%2C pseudogene
PF3D7_1149600	['811045', 'PF11_0513']	dnaj_III	DnaJ protein%2C putative
PF3D7_1149700	['811046', 'PF11_0514']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1149800	['811047', 'PF11_0515']	rifB	rifin
PF3D7_1149900	['811048', 'PF11_0516']	stevor	stevor
PF3D7_1150000	['811049', 'PF11_0517']	rifA	rifin
PF3D7_1150200	['811051', 'PF11_0519']	rifA	rifin
PF3D7_1150300	['811052', 'PF11_0520']	rifA	rifin
PF3D7_1150400	['811053', 'PF11_0521']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1200100	['2277.t00001', '811065', 'MAL12P1.1', 'PFL0005w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1200200	['2277.t00002', '811064', 'MAL12P1.2', 'PFL0010c']	rifA	rifin
PF3D7_1200300	['2277.t00003', '811063', 'MAL12P1.3', 'PFL0015c']	rifB	rifin
PF3D7_1200400	['2277.t00004', '811062', 'MAL12P1.4', 'PFL0020w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1200500	['2277.t00005', '811061', 'MAL12P1.5', 'PF13_0363', 'PFL0025c']	rifA	rifin
PF3D7_1200600	['2277.t00006', '811060', 'MAL12P1.6', 'PFL0030c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1200700	['2277.t00007', '811059', 'MAL12P1.7', 'PFL0035c']	acs	acyl-CoA synthetase
PF3D7_1200800	['2277.t00008', '811058', 'MAL12P1.8', 'PFL0040c']	FIKK	serine/threonine protein kinase%2C FIKK family
PF3D7_1200900	['2277.t00009', '811057', 'MAL12P1.9', 'PFL0045c']	PHISTc	Plasmodium exported protein (PHISTc)%2C unknown function
PF3D7_1201000	['2277.t00010', '811056', 'MAL12P1.10', 'PFL0050c']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1201100	['2277.t00011', '811055', 'MAL12P1.11', 'PFL0055c']	PHISTb_dnaj	RESA-like protein with PHIST and DnaJ domains
PF3D7_1219200	['8445023', 'PFL0933w']	rif pseudogen.	rifin%2C pseudogene
PF3D7_1219300	['2277.t00187', '811239', 'MAL12P1.188', 'PFL0935c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1219400	['2277.t00188', '811240', 'PF12_0001', 'PFL0940c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_1219500	['2277.t00189', '811241', 'PF12_0002', 'PFL0945w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_1222600	['2277.t00217', '811269', 'MAL12P1.217', 'PFL1085w']	ApiAP2-TF	transcription factor with AP2 domain(s)
PF3D7_1238800	['2277.t00376', '811428', 'MAL12P1.374', 'PFL1880w']	acs	acyl-CoA synthetase
PF3D7_1240200	['8444981', 'PFL1947c']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_1240300	['2277.t00390', '811442', 'MAL12P1.388', 'PFL1950w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1240400	['2277.t00391', '811443', 'MAL12P1.389', 'PFL1955w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1240600	['2277.t00392', '811444', 'MAL12P1.390', 'PFL1960w']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1240900	['2277.t00394', '811446', 'MAL12P1.392', 'PFL1970w']	var pseudo,truncated or -like.	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1252600	['2277.t00504', '811556', 'MAL12P1.501', 'PFL2530w']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_1252700	['2277.t00505', '811557', 'MAL12P1.502', 'PFL2535w']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1252800	['2277.t00506', '811558', 'MAL12P1.503', 'PFL2540w']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1253000	['2277.t00508', '811560', 'PF12_0010', 'PFL2550w']	dnaj_III	gametocyte erythrocyte cytosolic protein
PF3D7_1253100	['2277.t00509', '811561', 'MAL12P1.506', 'PFL2555w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1253300	['2277.t00511', '811563', 'MAL12P1.508', 'PFL2565w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_1253400	['2277.t00512', '811564', 'MAL12P1.509', 'PFL2570w']	acs	acyl-CoA synthetase
PF3D7_1253500	['2277.t00513', '811565', 'MAL12P1.510', 'PFL2575c']	PFD0075-like	Plasmodium exported protein%2C unknown function
PF3D7_1253700	['2277.t00515', '811567', 'MAL12P1.512', 'PFL2585c']	rifA	rifin
PF3D7_1253800	['2277.t00516', '811568', 'MAL12P1.513', 'PFL2590w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1253900	['2277.t00517', '811569', 'MAL12P1.514', 'PFL2595w', 'PFL2600w']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_1254000	['2277.t00519', '811571', 'MAL12P1.516', 'PFL2605w']	rifB	rifin
PF3D7_1254100	['2277.t00520', '811572', 'MAL12P1.517', 'PFL2610w']	stevor	stevor
PF3D7_1254200	['2277.t00521', '811573', 'MAL12P1.518', 'PFL2615w']	rifA	rifin
PF3D7_1254300	['2277.t00522', '811574', 'MAL12P1.519', 'PFL2620w']	stevor	stevor
PF3D7_1254400	['2277.t00523', '811575', 'MAL12P1.520', 'PFL2625w']	rifA	rifin
PF3D7_1254500	['2277.t00524', '811576', 'MAL12P1.521', 'PFL2630w']	rifB	rifin
PF3D7_1254600	['2277.t00525', '811577', 'MAL12P1.522', 'PFL2635w']	stevor	stevor
PF3D7_1254700	['2277.t00526', '811578', 'MAL12P1.523', 'PFL2640c']	rifA	rifin
PF3D7_1254800	['2277.t00527', '811579', 'MAL12P1.524', 'PFL2645c']	rifA	rifin
PF3D7_1255000	['2277.t00529', '811581', 'MAL12P1.526', 'PFL2655w']	rifB	rifin
PF3D7_1255100	['2277.t00530', '811582', 'MAL12P1.527', 'PFL2660w']	rifA	rifin
PF3D7_1255200	['2277.t00531', '811583', 'MAL12P1.528', 'PFL2665c']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1300100	['813647', 'MAL13P1.1', 'PF13_0001']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1300200	['813755', 'MAL13P1.2', 'PF13_0002']	rifA	rifin
PF3D7_1300300	['813648', 'PF13_0003']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1300400	['813753', 'PF13_0004']	rifA	rifin
PF3D7_1300500	['4794210', 'PF13_0005']	rifA	rifin
PF3D7_1300600	['4794211', 'PF13_0006']	rifB	rifin
PF3D7_1300700	['813756', 'MAL13P1.4', 'PF13_0007']	rifA	rifin
PF3D7_1300800	['4794212', 'MAL13P1.6']	var pseudo,truncated or -like.	erythrocyte membrane protein 1-like
PF3D7_1300900	['813959', 'MAL13P1.7', 'PF13_0009']	stevor	stevor
PF3D7_1301000	['4794213', 'MAL13P1.8']	rif pseudogen.	rifin%2C pseudogene
PF3D7_1301100	['813657', 'MAL13P1.11', 'MAL13P1.11a']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_1301200	['813989', 'PF13_0010']	gbp	glycophorin binding protein
PF3D7_1301300	['813947', 'MAL13P1.58']	PHISTa-like	Plasmodium exported protein (PHISTa-like)%2C unknown function%2C pseudogene
PF3D7_1301500	['813948', 'MAL13P1.59']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1301600	['813949', 'MAL13P1.60']	eba	erythrocyte binding antigen-140
PF3D7_1312000	['814044', 'PF13_0066']	Lysophospholipase	malonyl CoA-acyl carrier protein transacylase
PF3D7_1346700	['814212', 'PF13_0247']	6-cys	6-cysteine protein
PF3D7_1346800	['814213', 'PF13_0248']	6-cys	6-cysteine protein
PF3D7_1358000	['813847', 'MAL13P1.285']	Lysophospholipase	patatin-like phospholipase%2C putative
PF3D7_1372000	['9221997', 'MAL13P1.470']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1372100	['9221998', 'MAL13P1.475']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1372200	['9221999', 'MAL13P1.480']	hrp	histidine-rich protein III
PF3D7_1372400	['9222022', 'MAL13P1.485']	acs	acyl-CoA synthetase
PF3D7_1372500	['9222000', 'MAL13P1.490']	stevor	stevor%2C pseudogene
PF3D7_1372600	['9222032', 'MAL13P1.495']	rifB	rifin
PF3D7_1372700	['9222027', 'MAL13P1.500']	rifA	rifin
PF3D7_1372800	['9222028', 'MAL13P1.505']	stevor	stevor
PF3D7_1372900	['9222033', 'MAL13P1.510']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C exon 2%2C pseudogene
PF3D7_1373000	['9222034', 'MAL13P1.515']	rifA	rifin
PF3D7_1373100	['9222029', 'MAL13P1.520']	rifA	rifin
PF3D7_1373300	['9222001', 'MAL13P1.530']	rifB	rifin
PF3D7_1373400	['9222002', 'MAL13P1.535']	rifA	rifin
PF3D7_1373500	['813649', 'MAL13P1.356', 'PF13_0364']	var	erythrocyte membrane protein 1%2C PfEMP1
PF3D7_1400100	['811589', 'PF14_0001']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
PF3D7_1400200	['811600', 'PF14_0002']	rifA	rifin
PF3D7_1400300	['811596', 'PF14_0003']	rifB	rifin
PF3D7_1400400	['811586', 'PF14_0004']	rifA	rifin
PF3D7_1400500	['811605', 'PF14_0005']	rifB	rifin
PF3D7_1400600	['811606', 'PF14_0006']	rifA	rifin
PF3D7_1400700	['811603', 'PF14_0007']	stevor	stevor
PF3D7_1400800	['811602', 'PF14_0008']	rifB	rifin
PF3D7_1400900	['811604', 'PF14_0009']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_1401000	['811601', 'PF14_0010']	gbp	glycophorin binding protein
PF3D7_1401100	['811599', 'PF14_0013']	dnaj_III	DnaJ protein%2C putative
PF3D7_1401500	['811594', 'PF14_0017']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_1401600	['811593', 'PF14_0018']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1476200	['812312', 'PF14_0730', 'PF14_0731']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1476300	['812314', 'PF14_0732']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1476400	['812315', '812316', 'PF14_0733', 'PF14_0734']	FIKK	serine/threonine protein kinase%2C FIKK family%2C pseudogene
PF3D7_1476700	['812319', 'PF14_0737']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_1476800	['812320', 'PF14_0738']	Lysophospholipase	lysophospholipase%2C putative
PF3D7_1477000	['812322', 'PF14_0740', 'pf14_0741']	hyp17	Plasmodium exported protein (hyp17)%2C unknown function%2C pseudogene
PF3D7_1477100	['812324', 'PF14_0742']	hyp6	Plasmodium exported protein (hyp6)%2C unknown function
PF3D7_1477200	['812325', 'PF14_0743']	hyp15	Plasmodium exported protein (hyp15)%2C unknown function
PF3D7_1477500	['812328', 'PF14_0746']	PHISTb	Plasmodium exported protein (PHISTb)%2C unknown function
PF3D7_1477700	['812330', 'PF14_0748']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1477800	['812331', 'PF14_0749']	acbp	acyl-CoA binding protein
PF3D7_1477900	['812332', 'PF14_0751']	acs	acyl-CoA synthetase%2C pseudogene
PF3D7_1478000	['812333', 'PF14_0752']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1478300	['812336', 'PF14_0755']	hyp15	Plasmodium exported protein%2C unknown function%2C pseudogene
PF3D7_1478400	['812337', 'PF14_0756']	PFD0075-like	Plasmodium exported protein%2C unknown function%2C pseudogene
PF3D7_1478500	['812338', 'PF14_0757']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_1478600	['812339', 'PF14_0758']	hyp17	EMP1-trafficking protein
PF3D7_1478700	['812340', 'PF14_0759']	PFD0075-like	Plasmodium exported protein%2C unknown function%2C pseudogene
PF3D7_1479000	['812342', 'PF14_0761']	acs	acyl-CoA synthetase
PF3D7_1479100	['812343', 'PF14_0762']	PFD0075-like	Plasmodium exported protein%2C unknown function
PF3D7_1479200	['812344', 'PF14_0763']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function
PF3D7_1479300	['812345', 'PF14_0764', 'PF14_0765']	PHISTa	Plasmodium exported protein (PHISTa)%2C unknown function%2C pseudogene
PF3D7_1479400	['812347', 'PF14_0766']	rifB	rifin
PF3D7_1479500	['812348', 'PF14_0767']	stevor	stevor
PF3D7_1479600	['812349', 'PF14_0768']	rifB	rifin
PF3D7_1479700	['812350', 'PF14_0769']	rifA	rifin
PF3D7_1479800	['812351', 'PF14_0770']	rifB	rifin
PF3D7_1479900	['812352', 'PF14_0771']	stevor	stevor
PF3D7_1480000	['812353', 'PF14_0772']	rifA	rifin
PF3D7_1480100	['812354', 'PF14_0773']	var pseudo,truncated or -like.	erythrocyte membrane protein 1 (PfEMP1)%2C pseudogene
